,Anthropomorphism2rational,Animacy2rational,Likability2rational,Intelligence2rational,Safety2rational
Interactions,0.05,0.04,0.08,-0.02,0.04
Social_Influence,0.08,0.07,0.06,0.07,0.13
Emotions,-0.04,-0.04,-0.02,-0.1,-0.07
Extroversion,-0.04,-0.02,0.02,-0.05,0.08
Agreeableness,-0.02,0.0,-0.03,0.06,0.01
Conscientiousness,0.07,0.09,-0.02,0.0,0.06
Neuroticism,-0.01,-0.11,-0.0,0.09,-0.04
Openness,-0.05,0.01,0.05,0.11,0.04
agree2rational,0.3***,0.19**,0.28***,0.41***,0.23***
prefer,-0.36***,-0.33***,-0.34***,-0.41***,-0.24***
