,Q10_Page Submit,Q12_Page Submit,Q17_Page Submit,Q15_Page Submit,Q19_Page Submit,Q21_Page Submit,Q23_Page Submit
0,53.661,38.415,28.363,29.941,19.843,18.307,14.744
1,45.596,39.535,22.18,34.44,35.641,18.58,22.162
2,83.441,31.303,22.638,27.459,18.055,42.89,21.511
3,41.341,36.846,32.378,36.051,25.158,20.489,29.04
4,59.334,49.013,38.526,29.56,26.221,11.931,22.349
5,31.673,13.938,27.744,24.28,13.983,23.766,13.513
6,41.596,30.885,30.009,46.156,28.704,17.321,19.174
7,50.289,36.252,7.938,53.991,9.638,17.296,35.18
8,29.949,27.651,39.072,24.257,18.269,25.893,14.957
9,86.283,37.723,36.547,64.292,40.945,86.453,25.59
10,67.523,51.706,30.081,60.9,27.799,30.372,29.554
11,112.317,82.51,58.693,83.281,31.944,25.082,14.669
12,58.457,21.943,36.515,68.277,21.674,31.017,27.112
13,54.092,57.344,61.934,38.713,27.983,28.854,25.326
14,103.625,69.696,84.797,93.74,67.776,71.179,62.024
15,87.001,73.399,26.521,121.683,27.916,73.662,24.469
16,26.371,28.53,26.327,72.112,30.571,36.51,18.237
17,104.546,54.139,71.426,69.373,204.039,49.503,57.926
18,156.331,197.385,251.721,42.679,156.842,112.755,80.153
19,49.779,57.873,40.105,77.558,27.12,31.823,16.856
20,38.911,45.154,27.382,35.683,21.564,14.647,20.139
